Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
185,邓,355,7.58,2.5502,82,1.31,1.9138,dèng,deng,4,d,eng,⿰又阝,⿰,⿰又阝
186,劝,871,18.59,2.94,661,10.59,2.8202,quàn,quan,4,q,uan,⿰又力,⿰,⿰又力
187,双,6381,136.23,3.8049,3073,49.22,3.4876,shuāng,shuang,1,sh,uang,⿰又又,⿰,⿰又又
188,书,13360,285.22,4.1258,3636,58.24,3.5606,shū,shu,1,sh,u,书,S,书
189,幻,3425,73.12,3.5347,1665,26.67,3.2214,huàn,huan,4,h,uan,⿰幺𠃌,⿰,⿰幺𠃌
190,玉,1240,26.47,3.0934,632,10.12,2.8007,yù,yu,4,y,u,⿷王丶,⿷,⿷王丶
191,刊,604,12.89,2.781,385,6.17,2.5855,kān,kan,1,k,an,⿰干刂,⿰,⿰干刂
192,未,11246,240.09,4.051,4069,65.18,3.6095,wèi,wei,4,w,ei,未,S,未
193,末,3773,80.55,3.5767,2092,33.51,3.3206,mò,mo,4,m,o,末,S,末
194,示,9413,200.96,3.9737,3948,63.24,3.5964,shì,shi,4,sh,i,示,S,示
195,击,16918,361.18,4.2283,4227,67.71,3.626,jī,ji,1,j,i,⿱⿻二丨凵,⿱,⿱⿻二丨凵
196,打,79262,1692.15,4.8991,6203,99.36,3.7926,dǎ,da,3,d,a,⿰扌丁,⿰,⿰扌丁
197,巧,5321,113.6,3.726,2676,42.86,3.4275,qiǎo,qiao,3,q,iao,⿰工丂,⿰,⿰工丂
198,正,57215,1221.47,4.7575,6186,99.09,3.7914,zhèng,zheng,4,zh,eng,⿱一止,⿱,⿱一止
199,扑,950,20.28,2.9777,596,9.55,2.7752,pū,pu,1,p,u,⿰扌卜,⿰,⿰扌卜
200,卉,23,0.49,1.3617,14,0.22,1.1461,huì,hui,4,h,ui,⿱十廾,⿱,⿱十廾
201,扒,240,5.12,2.3802,164,2.63,2.2148,bā,ba,1,b,a,⿰扌八,⿰,⿰扌八
202,功,9452,201.79,3.9755,3833,61.4,3.5835,gōng,gong,1,g,ong,⿰工力,⿰,⿰工力
203,扔,5106,109.01,3.7081,2558,40.97,3.4079,rēng,reng,1,r,eng,⿰扌乃,⿰,⿰扌乃
204,去,232346,4960.3,5.3661,6241,99.97,3.7953,qù,qu,4,q,u,⿱土厶,⿱,⿱土厶
205,甘,1213,25.9,3.0839,607,9.72,2.7832,gān,gan,1,g,an,甘,S,甘
206,世,21566,460.41,4.3338,5168,82.78,3.7133,shì,shi,4,sh,i,世,S,世
207,艾,8577,183.11,3.9333,1227,19.65,3.0888,ài,ai,4,,ai,⿱艹乂,⿱,⿱艹乂
