Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
822,迎,9589,204.71,3.9818,3464,55.49,3.5396,yíng,ying,2,y,ing,⿺辶卬,⿺,⿺辶卬
823,饭,10037,214.28,4.0016,3683,58.99,3.5662,fàn,fan,4,f,an,⿰饣反,⿰,⿰饣反
824,饮,1811,38.66,3.2579,1200,19.22,3.0792,yǐn,yin,3,y,in,⿰饣欠,⿰,⿰饣欠
825,系,29334,626.24,4.4674,5675,90.9,3.754,xì,xi,4,x,i,⿱丿糸,⿱,⿱丿糸
826,言,13176,281.29,4.1198,4555,72.96,3.6585,yán,yan,2,y,an,言,S,言
827,冻,1620,34.59,3.2095,910,14.58,2.959,dòng,dong,4,d,ong,⿰冫东,⿰,⿰冫东
828,状,6080,129.8,3.7839,2974,47.64,3.4733,zhuàng,zhuang,4,zh,uang,⿰丬犬,⿰,⿰丬犬
829,亩,144,3.07,2.1584,94,1.51,1.9731,mǔ,mu,3,m,u,⿱亠田,⿱,⿱亠田
830,况,13269,283.28,4.1228,4554,72.95,3.6584,kuàng,kuang,4,k,uang,⿰冫兄,⿰,⿰冫兄
831,床,8706,185.86,3.9398,3350,53.66,3.525,chuáng,chuang,2,ch,uang,⿸广木,⿸,⿸广木
832,库,4752,101.45,3.6769,1740,27.87,3.2405,kù,ku,4,k,u,⿸广车,⿸,⿸广车
833,庇,418,8.92,2.6212,263,4.21,2.42,bì,bi,4,b,i,⿸广比,⿸,⿸广比
834,疗,6031,128.75,3.7804,2101,33.65,3.3224,liáo,liao,2,l,iao,⿸疒了,⿸,⿸疒了
835,吝,114,2.43,2.0569,101,1.62,2.0043,lìn,lin,4,l,in,⿱文口,⿱,⿱文口
836,应,52206,1114.53,4.7177,6138,98.32,3.788,yīng,ying,1,y,ing,⿸广⿱𭕄一,⿸,⿸广⿱𭕄一
837,这,633842,13531.75,5.802,6243,100,3.7954,zhè,zhe,4,zh,e,⿺辶文,⿺,⿺辶文
838,冷,9199,196.39,3.9637,3680,58.95,3.5658,lěng,leng,3,l,eng,⿰冫令,⿰,⿰冫令
839,庐,27,0.58,1.4314,27,0.43,1.4314,lú,lu,2,l,u,⿸广户,⿸,⿸广户
840,序,2630,56.15,3.42,1430,22.91,3.1553,xù,xu,4,x,u,⿸广予,⿸,⿸广予
841,辛,3020,64.47,3.48,1380,22.1,3.1399,xīn,xin,1,x,in,⿱立十,⿱,⿱立十
842,弃,7845,167.48,3.8946,3495,55.98,3.5434,qì,qi,4,q,i,⿱𠫓廾,⿱,⿱𠫓廾
843,冶,18,0.38,1.2553,16,0.26,1.2041,yě,ye,3,y,e,⿰冫台,⿰,⿰冫台
844,忘,12906,275.53,4.1108,4727,75.72,3.6746,wàng,wang,4,w,ang,⿱亡心,⿱,⿱亡心
845,闰,6,0.13,0.7782,5,0.08,0.699,rùn,run,4,r,un,⿵门王,⿵,⿵门王
846,闲,2002,42.74,3.3015,1456,23.32,3.1632,xián,xian,2,x,ian,⿵门木,⿵,⿵门木
847,间,60047,1281.93,4.7785,6174,98.89,3.7906,jiān,jian,1,j,ian,⿵门日,⿵,⿵门日
848,闷,1183,25.26,3.073,873,13.98,2.941,mèn,men,4,m,en,⿵门心,⿵,⿵门心
849,判,5960,127.24,3.7752,2391,38.3,3.3786,pàn,pan,4,p,an,⿰半刂,⿰,⿰半刂
850,兑,387,8.26,2.5877,285,4.57,2.4548,duì,dui,4,d,ui,⿱丷兄,⿱,⿱丷兄
851,灶,72,1.54,1.8573,55,0.88,1.7404,zào,zao,4,z,ao,⿰火土,⿰,⿰火土
852,灿,232,4.95,2.3655,176,2.82,2.2455,càn,can,4,c,an,⿰火山,⿰,⿰火山
853,灼,164,3.5,2.2148,136,2.18,2.1335,zhuó,zhuo,2,zh,uo,⿰火勺,⿰,⿰火勺
854,弟,17768,379.33,4.2496,3540,56.7,3.549,dì,di,4,d,i,⿱丷𢎨,⿱,⿱丷𢎨
855,汪,254,5.42,2.4048,75,1.2,1.8751,wāng,wang,1,w,ang,⿰氵王,⿰,⿰氵王
856,沐,136,2.9,2.1335,116,1.86,2.0645,mù,mu,4,m,u,⿰氵木,⿰,⿰氵木
857,沛,149,3.18,2.1732,131,2.1,2.1173,pèi,pei,4,p,ei,⿰氵巿,⿰,⿰氵巿
858,汰,2611,55.74,3.4168,461,7.38,2.6637,tài,tai,4,t,ai,⿰氵太,⿰,⿰氵太
859,沥,63,1.34,1.7993,53,0.85,1.7243,lì,li,4,l,i,⿰氵历,⿰,⿰氵历
860,沙,5683,121.33,3.7546,2202,35.27,3.3428,shā,sha,1,sh,a,⿰氵少,⿰,⿰氵少
861,汽,3608,77.03,3.5573,1763,28.24,3.2463,qì,qi,4,q,i,⿰氵气,⿰,⿰氵气
862,沃,3761,80.29,3.5753,706,11.31,2.8488,wò,wo,4,w,o,⿰氵夭,⿰,⿰氵夭
863,沦,232,4.95,2.3655,173,2.77,2.238,lún,lun,2,l,un,⿰氵仑,⿰,⿰氵仑
864,汹,84,1.79,1.9243,63,1.01,1.7993,xiōng,xiong,1,x,iong,⿰氵凶,⿰,⿰氵凶
865,泛,396,8.45,2.5977,272,4.36,2.4346,fàn,fan,4,f,an,⿰氵乏,⿰,⿰氵乏
866,沧,40,0.85,1.6021,35,0.56,1.5441,cāng,cang,1,c,ang,⿰氵仓,⿰,⿰氵仓
867,没,293874,6273.85,5.4682,6241,99.97,3.7953,méi,mei,2,m,ei,⿰氵殳,⿰,⿰氵殳
868,沟,927,19.79,2.9671,678,10.86,2.8312,gōu,gou,1,g,ou,⿰氵勾,⿰,⿰氵勾
869,沪,8,0.17,0.9031,1,0.02,0,hù,hu,4,h,u,⿰氵户,⿰,⿰氵户
870,沈,53,1.13,1.7243,18,0.29,1.2553,shěn,shen,3,sh,en,⿰氵冘,⿰,⿰氵冘
871,沉,3347,71.45,3.5247,1974,31.62,3.2953,chén,chen,2,ch,en,⿰氵冗,⿰,⿰氵冗
872,沁,9,0.19,0.9542,9,0.14,0.9542,qìn,qin,4,q,in,⿰氵心,⿰,⿰氵心
873,怀,8726,186.29,3.9408,3636,58.24,3.5606,huái,huai,2,h,uai,⿰忄不,⿰,⿰忄不
874,忧,1048,22.37,3.0204,779,12.48,2.8915,yōu,you,1,y,ou,⿰忄尤,⿰,⿰忄尤
875,忱,21,0.45,1.3222,19,0.3,1.2788,chén,chen,2,ch,en,⿰忄冘,⿰,⿰忄冘
876,快,72900,1556.33,4.8627,6145,98.43,3.7885,kuài,kuai,4,k,uai,⿰忄夬,⿰,⿰忄夬
877,完,37488,800.32,4.5739,6033,96.64,3.7805,wán,wan,2,w,an,⿱宀元,⿱,⿱宀元
878,宋,340,7.26,2.5315,78,1.25,1.8921,sòng,song,4,s,ong,⿱宀木,⿱,⿱宀木
879,宏,249,5.32,2.3962,162,2.59,2.2095,hóng,hong,2,h,ong,⿱宀厷,⿱,⿱宀厷
880,牢,3297,70.39,3.5181,1700,27.23,3.2304,láo,lao,2,l,ao,⿱宀牛,⿱,⿱宀牛
881,究,6461,137.93,3.8103,2885,46.21,3.4601,jiū,jiu,1,j,iu,⿱穴九,⿱,⿱穴九
882,穷,1429,30.51,3.155,952,15.25,2.9786,qióng,qiong,2,q,iong,⿱穴力,⿱,⿱穴力
883,灾,1870,39.92,3.2718,1065,17.06,3.0273,zāi,zai,1,z,ai,⿱宀火,⿱,⿱宀火
884,良,3045,65.01,3.4836,1967,31.51,3.2938,liáng,liang,2,l,iang,⿱丶艮,⿱,⿱丶艮
885,证,30165,643.99,4.4795,5358,85.82,3.729,zhèng,zheng,4,zh,eng,⿰讠正,⿰,⿰讠正
886,启,2475,52.84,3.3936,1365,21.86,3.1351,qǐ,qi,3,q,i,⿸户口,⿸,⿸户口
887,评,6455,137.81,3.8099,1940,31.07,3.2878,píng,ping,2,p,ing,⿰讠平,⿰,⿰讠平
888,补,3604,76.94,3.5568,2220,35.56,3.3464,bǔ,bu,3,b,u,⿰衤卜,⿰,⿰衤卜
889,初,3740,79.84,3.5729,2222,35.59,3.3467,chū,chu,1,ch,u,⿰衤刀,⿰,⿰衤刀
890,社,5084,108.54,3.7062,2301,36.86,3.3619,shè,she,4,sh,e,⿰礻土,⿰,⿰礻土
891,祀,45,0.96,1.6532,36,0.58,1.5563,sì,si,4,s,i,⿰礻巳,⿰,⿰礻巳
892,识,20878,445.72,4.3197,5397,86.45,3.7322,shí,shi,2,sh,i,⿰讠只,⿰,⿰讠只
893,诈,957,20.43,2.9809,623,9.98,2.7945,zhà,zha,4,zh,a,⿰讠乍,⿰,⿰讠乍
894,诉,65753,1403.75,4.8179,6150,98.51,3.7889,sù,su,4,s,u,⿰讠斥,⿰,⿰讠斥
895,罕,627,13.39,2.7973,415,6.65,2.618,hǎn,han,3,h,an,⿱㓁干,⿱,⿱㓁干
896,诊,2337,49.89,3.3687,999,16,2.9996,zhěn,zhen,3,zh,en,⿰讠㐱,⿰,⿰讠㐱
897,词,7178,153.24,3.856,2902,46.48,3.4627,cí,ci,2,c,i,⿰讠司,⿰,⿰讠司
898,译,256,5.47,2.4082,174,2.79,2.2405,yì,yi,4,y,i,⿰讠𠬤,⿰,⿰讠𠬤
899,君,1901,40.58,3.279,780,12.49,2.8921,jūn,jun,1,j,un,⿸尹口,⿸,⿸尹口
900,灵,8472,180.87,3.928,2941,47.11,3.4685,líng,ling,2,l,ing,⿱彐火,⿱,⿱彐火
901,即,8012,171.05,3.9037,3733,59.79,3.5721,jí,ji,2,j,i,⿰⑤卩,⿰,⿰⑤卩
902,层,3807,81.27,3.5806,1932,30.95,3.286,céng,ceng,2,c,eng,⿸尸云,⿸,⿸尸云
903,屁,7805,166.63,3.8924,2701,43.26,3.4315,pì,pi,4,p,i,⿸尸比,⿸,⿸尸比
904,尿,2843,60.69,3.4538,1368,21.91,3.1361,niào,niao,4,n,iao,⿸尸水,⿸,⿸尸水
905,尾,3109,66.37,3.4926,1822,29.18,3.2605,wěi,wei,3,w,ei,⿸尸毛,⿸,⿸尸毛
906,迟,5227,111.59,3.7183,2800,44.85,3.4472,chí,chi,2,ch,i,⿺辶尺,⿺,⿺辶尺
907,局,12836,274.03,4.1084,3669,58.77,3.5645,jú,ju,2,j,u,⿸尸⿹𠃌口,⿸,⿸尸⿹𠃌口
908,改,12916,275.74,4.1111,4569,73.19,3.6598,gǎi,gai,3,g,ai,⿰己攵,⿰,⿰己攵
909,张,18739,400.05,4.2727,5090,81.53,3.7067,zhāng,zhang,1,zh,ang,⿰弓长,⿰,⿰弓长
910,忌,1332,28.44,3.1245,906,14.51,2.9571,jì,ji,4,j,i,⿱己心,⿱,⿱己心
911,际,7355,157.02,3.8666,3334,53.4,3.523,jì,ji,4,j,i,⿰阝示,⿰,⿰阝示
912,陆,2197,46.9,3.3418,996,15.95,2.9983,lù,lu,4,l,u,⿰阝击,⿰,⿰阝击
913,阿,15489,330.67,4.19,2985,47.81,3.4749,ā,a,1,,a,⿰阝可,⿰,⿰阝可
914,陈,1461,31.19,3.1647,827,13.25,2.9175,chén,chen,2,ch,en,⿰阝东,⿰,⿰阝东
915,阻,5382,114.9,3.7309,2686,43.02,3.4291,zǔ,zu,3,z,u,⿰阝且,⿰,⿰阝且
916,附,4227,90.24,3.626,2467,39.52,3.3922,fù,fu,4,f,u,⿰阝付,⿰,⿰阝付
917,坠,1045,22.31,3.0191,606,9.71,2.7825,zhuì,zhui,4,zh,ui,⿱队土,⿱,⿱队土
918,妓,1709,36.49,3.2327,812,13.01,2.9096,jì,ji,4,j,i,⿰女支,⿰,⿰女支
919,妙,3967,84.69,3.5985,2293,36.73,3.3604,miào,miao,4,m,iao,⿰女少,⿰,⿰女少
920,妖,677,14.45,2.8306,305,4.89,2.4843,yāo,yao,1,y,ao,⿰女夭,⿰,⿰女夭
921,姊,144,3.07,2.1584,58,0.93,1.7634,zǐ,zi,3,z,i,⿰女𠂔,⿰,⿰女𠂔
922,妨,768,16.4,2.8854,654,10.48,2.8156,fáng,fang,2,f,ang,⿰女方,⿰,⿰女方
923,妒,1424,30.4,3.1535,934,14.96,2.9703,dù,du,4,d,u,⿰女户,⿰,⿰女户
924,努,6731,143.7,3.8281,3101,49.67,3.4915,nǔ,nu,3,n,u,⿱奴力,⿱,⿱奴力
925,忍,4557,97.29,3.6587,2538,40.65,3.4045,rěn,ren,3,r,en,⿱刃心,⿱,⿱刃心
926,劲,3832,81.81,3.5834,2366,37.9,3.374,jìn,jin,4,j,in,⿰𢀖力,⿰,⿰𢀖力
927,矣,50,1.07,1.699,44,0.7,1.6435,yǐ,yi,3,y,i,⿱厶矢,⿱,⿱厶矢
928,鸡,6321,134.95,3.8008,2270,36.36,3.356,jī,ji,1,j,i,⿰又鸟,⿰,⿰又鸟
929,纬,130,2.78,2.1139,70,1.12,1.8451,wěi,wei,3,w,ei,⿰纟韦,⿰,⿰纟韦
930,驱,1081,23.08,3.0338,678,10.86,2.8312,qū,qu,1,q,u,⿰马区,⿰,⿰马区
931,纯,2224,47.48,3.3471,1453,23.27,3.1623,chún,chun,2,ch,un,⿰纟屯,⿰,⿰纟屯
932,纱,668,14.26,2.8248,318,5.09,2.5024,shā,sha,1,sh,a,⿰纟少,⿰,⿰纟少
933,纲,112,2.39,2.0492,68,1.09,1.8325,gāng,gang,1,g,ang,⿰纟冈,⿰,⿰纟冈
934,纳,8151,174.01,3.9112,2009,32.18,3.303,nà,na,4,n,a,⿰纟内,⿰,⿰纟内
935,驳,457,9.76,2.6599,321,5.14,2.5065,bó,bo,2,b,o,⿰马爻,⿰,⿰马爻
936,纵,1393,29.74,3.144,895,14.34,2.9518,zòng,zong,4,z,ong,⿰纟从,⿰,⿰纟从
937,纷,466,9.95,2.6684,299,4.79,2.4757,fēn,fen,1,f,en,⿰纟分,⿰,⿰纟分
938,纸,5221,111.46,3.7178,2486,39.82,3.3955,zhǐ,zhi,3,zh,i,⿰纟氏,⿰,⿰纟氏
939,纹,3451,73.67,3.5379,1396,22.36,3.1449,wén,wen,2,w,en,⿰纟文,⿰,⿰纟文
940,纺,81,1.73,1.9085,66,1.06,1.8195,fǎng,fang,3,f,ang,⿰纟方,⿰,⿰纟方
941,驴,483,10.31,2.6839,273,4.37,2.4362,lǘ,lü,2,l,ü,⿰马户,⿰,⿰马户
942,纽,5492,117.25,3.7397,1729,27.7,3.2378,niǔ,niu,3,n,iu,⿰纟丑,⿰,⿰纟丑
943,奉,1326,28.31,3.1225,939,15.04,2.9727,fèng,feng,4,f,eng,⿱𡗗⿻二丨,⿱,⿱𡗗⿻二丨
944,玩,28964,618.35,4.4619,5545,88.82,3.7439,wán,wan,2,w,an,⿰王元,⿰,⿰王元
945,环,4848,103.5,3.6856,2314,37.07,3.3644,huán,huan,2,h,uan,⿰王不,⿰,⿰王不
946,武,6516,139.11,3.814,2026,32.45,3.3066,wǔ,wu,3,w,u,⿹⿶弋一止,⿹,⿹⿶弋一止
947,青,3107,66.33,3.4923,1652,26.46,3.218,qīng,qing,1,q,ing,⿱龶月,⿱,⿱龶月
948,责,10100,215.62,4.0043,3928,62.92,3.5942,zé,ze,2,z,e,⿱龶贝,⿱,⿱龶贝
949,现,137777,2941.37,5.1392,6240,99.95,3.7952,xiàn,xian,4,x,ian,⿰王见,⿰,⿰王见
950,玫,703,15.01,2.847,390,6.25,2.5911,méi,mei,2,m,ei,⿰王攵,⿰,⿰王攵
951,表,31395,670.24,4.4969,5521,88.44,3.742,biǎo,biao,3,b,iao,⿱龶𧘇,⿱,⿱龶𧘇
952,规,7030,150.08,3.847,3128,50.1,3.4953,guī,gui,1,g,ui,⿰夫见,⿰,⿰夫见
953,抹,867,18.51,2.938,677,10.84,2.8306,mò,mo,4,m,o,⿰扌末,⿰,⿰扌末
954,卦,512,10.93,2.7093,283,4.53,2.4518,guà,gua,4,g,ua,⿰圭卜,⿰,⿰圭卜
955,坷,56,1.2,1.7482,51,0.82,1.7076,kě,ke,3,k,e,⿰土可,⿰,⿰土可
956,坯,13,0.28,1.1139,11,0.18,1.0414,pī,pi,1,p,i,⿰土丕,⿰,⿰土丕
957,拓,218,4.65,2.3385,153,2.45,2.1847,tuò,tuo,4,t,uo,⿰扌石,⿰,⿰扌石
958,拢,167,3.57,2.2227,141,2.26,2.1492,lǒng,long,3,l,ong,⿰扌龙,⿰,⿰扌龙
959,拔,1529,32.64,3.1844,960,15.38,2.9823,bá,ba,2,b,a,⿰扌犮,⿰,⿰扌犮
960,坪,368,7.86,2.5658,263,4.21,2.42,píng,ping,2,p,ing,⿰土平,⿰,⿰土平
961,拣,220,4.7,2.3424,159,2.55,2.2014,jiǎn,jian,3,j,ian,⿰扌𫠣,⿰,⿰扌𫠣
962,坦,4880,104.18,3.6884,1968,31.52,3.294,tǎn,tan,3,t,an,⿰土旦,⿰,⿰土旦
963,担,15900,339.45,4.2014,5116,81.95,3.7089,dān,dan,1,d,an,⿰扌旦,⿰,⿰扌旦
964,坤,223,4.76,2.3483,47,0.75,1.6721,kūn,kun,1,k,un,⿰土申,⿰,⿰土申
965,押,1557,33.24,3.1923,925,14.82,2.9661,yā,ya,1,y,a,⿰扌甲,⿰,⿰扌甲
966,抽,4423,94.43,3.6457,2177,34.87,3.3379,chōu,chou,1,ch,ou,⿰扌由,⿰,⿰扌由
967,拐,879,18.77,2.944,638,10.22,2.8048,guǎi,guai,3,g,uai,⿰扌另,⿰,⿰扌另
968,拖,3331,71.11,3.5226,1966,31.49,3.2936,tuō,tuo,1,t,uo,⿰扌㐌,⿰,⿰扌㐌
969,者,42245,901.88,4.6258,5891,94.36,3.7702,zhě,zhe,3,zh,e,⿸耂日,⿸,⿸耂日
970,拍,11578,247.18,4.0636,2907,46.56,3.4634,pāi,pai,1,p,ai,⿰扌白,⿰,⿰扌白
971,顶,5080,108.45,3.7059,2608,41.77,3.4163,dǐng,ding,3,d,ing,⿰丁页,⿰,⿰丁页
972,拆,1243,26.54,3.0945,827,13.25,2.9175,chāi,chai,1,ch,ai,⿰扌斥,⿰,⿰扌斥
973,拎,87,1.86,1.9395,74,1.19,1.8692,līn,lin,1,l,in,⿰扌令,⿰,⿰扌令
974,拥,5738,122.5,3.7588,2956,47.35,3.4707,yōng,yong,1,y,ong,⿰扌用,⿰,⿰扌用
975,抵,1716,36.63,3.2345,1166,18.68,3.0667,dǐ,di,3,d,i,⿰扌氐,⿰,⿰扌氐
976,拘,1058,22.59,3.0245,698,11.18,2.8439,jū,ju,1,j,u,⿰扌句,⿰,⿰扌句
977,势,4547,97.07,3.6577,2247,35.99,3.3516,shì,shi,4,sh,i,⿱执力,⿱,⿱执力
978,抱,26803,572.21,4.4282,5521,88.44,3.742,bào,bao,4,b,ao,⿰扌包,⿰,⿰扌包
979,拄,30,0.64,1.4771,27,0.43,1.4314,zhǔ,zhu,3,zh,u,⿰扌主,⿰,⿰扌主
980,垃,3274,69.9,3.5151,1775,28.43,3.2492,lā,la,1,l,a,⿰土立,⿰,⿰土立
981,拉,31007,661.96,4.4915,4562,73.07,3.6592,lā,la,1,l,a,⿰扌立,⿰,⿰扌立
982,拦,1029,21.97,3.0124,725,11.61,2.8603,lán,lan,2,l,an,⿰扌兰,⿰,⿰扌兰
983,幸,13109,279.86,4.1176,4617,73.95,3.6644,xìng,xing,4,x,ing,⿱土𢆉,⿱,⿱土𢆉
984,拌,317,6.77,2.5011,219,3.51,2.3404,bàn,ban,4,b,an,⿰扌半,⿰,⿰扌半
985,拧,227,4.85,2.356,172,2.76,2.2355,nǐng,ning,3,n,ing,⿰扌宁,⿰,⿰扌宁
986,拂,104,2.22,2.017,81,1.3,1.9085,fú,fu,2,f,u,⿰扌弗,⿰,⿰扌弗
987,拙,233,4.97,2.3674,197,3.16,2.2945,zhuō,zhuo,1,zh,uo,⿰扌出,⿰,⿰扌出
988,招,5342,114.05,3.7277,2963,47.46,3.4717,zhāo,zhao,1,zh,ao,⿰扌召,⿰,⿰扌召
989,坡,510,10.89,2.7076,331,5.3,2.5198,pō,po,1,p,o,⿰土皮,⿰,⿰土皮
990,披,883,18.85,2.946,539,8.63,2.7316,pī,pi,1,p,i,⿰扌皮,⿰,⿰扌皮
991,拨,1617,34.52,3.2087,777,12.45,2.8904,bō,bo,1,b,o,⿰扌发,⿰,⿰扌发
992,择,9266,197.82,3.9669,3751,60.08,3.5741,zé,ze,2,z,e,⿰扌𠬤,⿰,⿰扌𠬤
993,抬,1496,31.94,3.1749,1013,16.23,3.0056,tái,tai,2,t,ai,⿰扌台,⿰,⿰扌台
994,拇,361,7.71,2.5575,229,3.67,2.3598,mǔ,mu,3,m,u,⿰扌母,⿰,⿰扌母
995,拗,25,0.53,1.3979,20,0.32,1.301,niù,niu,4,n,iu,⿰扌幼,⿰,⿰扌幼
996,其,36285,774.64,4.5597,5983,95.84,3.7769,qí,qi,2,q,i,⿱⿱⑤一八,⿱,⿱⿱⑤一八
997,取,12409,264.92,4.0937,4588,73.49,3.6616,qǔ,qu,3,q,u,⿰耳又,⿰,⿰耳又
998,茉,256,5.47,2.4082,43,0.69,1.6335,mò,mo,4,m,o,⿱艹末,⿱,⿱艹末
999,苦,7563,161.46,3.8787,3390,54.3,3.5302,kǔ,ku,3,k,u,⿱艹古,⿱,⿱艹古
1000,昔,273,5.83,2.4362,204,3.27,2.3096,xī,xi,1,x,i,⿱龷日,⿱,⿱龷日
1001,苛,269,5.74,2.4298,239,3.83,2.3784,kē,ke,1,k,e,⿱艹可,⿱,⿱艹可
1002,若,2455,52.41,3.3901,1081,17.32,3.0338,ruò,ruo,4,r,uo,⿱艹右,⿱,⿱艹右
1003,茂,118,2.52,2.0719,63,1.01,1.7993,mào,mao,4,m,ao,⿱艹戊,⿱,⿱艹戊
1004,苹,854,18.23,2.9315,495,7.93,2.6946,píng,ping,2,p,ing,⿱艹平,⿱,⿱艹平
1005,苗,511,10.91,2.7084,266,4.26,2.4249,miáo,miao,2,m,iao,⿱艹田,⿱,⿱艹田
1006,英,14246,304.13,4.1537,3969,63.58,3.5987,yīng,ying,1,y,ing,⿱艹央,⿱,⿱艹央
1007,苟,180,3.84,2.2553,162,2.59,2.2095,gǒu,gou,3,g,ou,⿱艹句,⿱,⿱艹句
1008,苑,94,2.01,1.9731,12,0.19,1.0792,yuàn,yuan,4,y,uan,⿱艹夗,⿱,⿱艹夗
1009,苞,16,0.34,1.2041,15,0.24,1.1761,bāo,bao,1,b,ao,⿱艹包,⿱,⿱艹包
1010,范,3037,64.84,3.4824,1748,28,3.2425,fàn,fan,4,f,an,⿱艹氾,⿱,⿱艹氾
1011,直,46163,985.52,4.6643,6143,98.4,3.7884,zhí,zhi,2,zh,i,⿱十⿴且一,⿱,⿱十⿴且一
1012,茁,23,0.49,1.3617,23,0.37,1.3617,zhuó,zhuo,2,zh,uo,⿱艹出,⿱,⿱艹出
1013,茄,996,21.26,2.9983,607,9.72,2.7832,qié,qie,2,q,ie,⿱艹加,⿱,⿱艹加
1014,茎,312,6.66,2.4942,160,2.56,2.2041,jīng,jing,1,j,ing,⿱艹𢀖,⿱,⿱艹𢀖
1015,苔,270,5.76,2.4314,52,0.83,1.716,tái,tai,2,t,ai,⿱艹台,⿱,⿱艹台
1016,茅,207,4.42,2.316,132,2.11,2.1206,máo,mao,2,m,ao,⿱艹矛,⿱,⿱艹矛
1017,枉,160,3.42,2.2041,127,2.03,2.1038,wǎng,wang,3,w,ang,⿰木王,⿰,⿰木王
1018,林,9991,213.3,3.9996,2512,40.24,3.4,lín,lin,2,l,in,⿰木木,⿰,⿰木木
1019,枝,500,10.67,2.699,333,5.33,2.5224,zhī,zhi,1,zh,i,⿰木支,⿰,⿰木支
1020,杯,10466,223.44,4.0198,3556,56.96,3.551,bēi,bei,1,b,ei,⿰木不,⿰,⿰木不
1021,枢,116,2.48,2.0645,89,1.43,1.9494,shū,shu,1,sh,u,⿰木区,⿰,⿰木区
1022,柜,1975,42.16,3.2956,1172,18.77,3.0689,guì,gui,4,g,ui,⿰木巨,⿰,⿰木巨
1023,枚,765,16.33,2.8837,443,7.1,2.6464,méi,mei,2,m,ei,⿰木攵,⿰,⿰木攵
1024,析,1793,38.28,3.2536,1001,16.03,3.0004,xī,xi,1,x,i,⿰木斤,⿰,⿰木斤
1025,板,8354,178.35,3.9219,3278,52.51,3.5156,bǎn,ban,3,b,an,⿰木反,⿰,⿰木反
1026,松,9051,193.23,3.9567,3698,59.23,3.568,sōng,song,1,s,ong,⿰木公,⿰,⿰木公
1027,枪,21732,463.95,4.3371,3354,53.72,3.5256,qiāng,qiang,1,q,iang,⿰木仓,⿰,⿰木仓
1028,枫,137,2.92,2.1367,77,1.23,1.8865,fēng,feng,1,f,eng,⿰木风,⿰,⿰木风
1029,构,2583,55.14,3.4121,1583,25.36,3.1995,gòu,gou,4,g,ou,⿰木勾,⿰,⿰木勾
1030,杭,25,0.53,1.3979,12,0.19,1.0792,háng,hang,2,h,ang,⿰木亢,⿰,⿰木亢
1031,杰,13140,280.52,4.1186,1523,24.4,3.1827,jié,jie,2,j,ie,⿱木灬,⿱,⿱木灬
1032,述,2432,51.92,3.386,1521,24.36,3.1821,shù,shu,4,sh,u,⿺辶术,⿺,⿺辶术
1033,枕,715,15.26,2.8543,499,7.99,2.6981,zhěn,zhen,3,zh,en,⿰木冘,⿰,⿰木冘
1034,丧,2034,43.42,3.3084,1412,22.62,3.1498,sàng,sang,4,s,ang,⿱⿻土丷⿰𠄌⿺乀丿,⿱,⿱⿻土丷⿰𠄌⿺乀丿
1035,或,30931,660.34,4.4904,5665,90.74,3.7532,huò,huo,4,h,uo,⿹戈⿱口一,⿹,⿹戈⿱口一
1036,画,7877,168.16,3.8964,2385,38.2,3.3775,huà,hua,4,h,ua,⿱一⿶凵田,⿱,⿱一⿶凵田
1037,卧,2039,43.53,3.3094,1189,19.05,3.0752,wò,wo,4,w,o,⿰臣卜,⿰,⿰臣卜
1038,事,179716,3836.72,5.2546,6237,99.9,3.795,shì,shi,4,sh,i,事,S,事
1039,刺,4820,102.9,3.683,2472,39.6,3.393,cì,ci,4,c,i,⿰朿刂,⿰,⿰朿刂
1040,枣,25,0.53,1.3979,19,0.3,1.2788,zǎo,zao,3,z,ao,⿱朿⺀,⿱,⿱朿⺀
1041,雨,3189,68.08,3.5037,1432,22.94,3.1559,yǔ,yu,3,y,u,⿱一𠕒,⿱,⿱一𠕒
1042,卖,10993,234.69,4.0411,3569,57.17,3.5525,mài,mai,4,m,ai,⿱十买,⿱,⿱十买
1043,郁,1257,26.84,3.0993,830,13.29,2.9191,yù,yu,4,y,u,⿰有阝,⿰,⿰有阝
1044,矾,6,0.13,0.7782,4,0.06,0.6021,fán,fan,2,f,an,⿰石凡,⿰,⿰石凡
1045,矿,1010,21.56,3.0043,336,5.38,2.5263,kuàng,kuang,4,k,uang,⿰石广,⿰,⿰石广
1046,码,8906,190.13,3.9497,3244,51.96,3.5111,mǎ,ma,3,m,a,⿰石马,⿰,⿰石马
1047,厕,1856,39.62,3.2686,1111,17.8,3.0457,cè,ce,4,c,e,⿸厂则,⿸,⿸厂则
1048,奈,1450,30.96,3.1614,423,6.78,2.6263,nài,nai,4,n,ai,⿱大示,⿱,⿱大示
1049,奔,1170,24.98,3.0682,872,13.97,2.9405,bēn,ben,1,b,en,⿱大卉,⿱,⿱大卉
1050,奇,17952,383.25,4.2541,4896,78.42,3.6898,qí,qi,2,q,i,⿱大可,⿱,⿱大可
1051,奋,3781,80.72,3.5776,2163,34.65,3.3351,fèn,fen,4,f,en,⿱大田,⿱,⿱大田
1052,态,6133,130.93,3.7877,3124,50.04,3.4947,tài,tai,4,t,ai,⿱太心,⿱,⿱太心
